product_ordered,organizationId,min_price,max_price,frequency,25_groups,35_groups,40_groups
ENERGIZER AAA AL,bbPOf63F24IDFkDEqAZa,2.3364,2.3364,1,14,6,15
PLASTIC CUP,bbPOf63F24IDFkDEqAZa,1.4018,1.4018,1,14,6,16
PREPARATION OF RESOLUTION FOR APPOINTMENT AND RESIGNATION OF AUDITOR,zMRvozLYKUJXJktRS9ax,60.0,60.0,1,14,6,15
CONSULTING AGREEMENT MA PROSPECTS SINGAPOREINDONESIA,URq8z3aDJ0TuBlsDWBEX,3000.0,3000.0,1,14,6,15
LABOUR AND TRANSPORT,XcA7BqXK19LEf9oyT7iB,900.0,900.0,1,14,6,15
REPLACE THE BROKEN FLOAT SWITCH,XcA7BqXK19LEf9oyT7iB,250.0,250.0,1,14,6,15
MICROFIBER CLEANING CLOTH,5lIEQPVCxjJTPs7pSHDp,1.8224,1.8224,1,14,6,15
EZ HOME BAMBOO FIBER CLEANING CLOTH BCGR,5lIEQPVCxjJTPs7pSHDp,2.757,2.757,1,14,6,15
Fishball,XZiONVLS43uHjCvlETud,5.0,5.0,1,14,6,15
AUST CARROT,MBr7wr6DgN94ggCciCu7,2.0,2.0,1,15,6,32
WATER CHESTNUT PEELED,MBr7wr6DgN94ggCciCu7,3.5,3.5,1,1,6,15
BF MINCE DEW PRIDE BRZ HALAL,hRmDUtEZHmm1U4KPnvhv,9.0,9.0,1,14,5,25
BF MINCE DEW PRIDE BRZ HALAL,xT9A0d9RczE9hDoFwgRK,8.0,8.0,2,14,5,25
BRIOCHE BREAD ROLL ANGLISS HALAL,hRmDUtEZHmm1U4KPnvhv,17.5,17.5,1,14,5,1
CHK HONEY ROUND HAM SLICED ANGLISS HALAL,hRmDUtEZHmm1U4KPnvhv,14.0,14.0,1,3,1,25
CHK WINGS PERDIGAO BRZ HALAL,hRmDUtEZHmm1U4KPnvhv,4.9,4.9,1,3,5,2
CHK LEG BL SO UP SADIA BRZ HALAL,hRmDUtEZHmm1U4KPnvhv,4.4,4.4,1,3,5,2
BLUE DOLPHINS,ORGANIZATION2,1.36,1.36,1,14,6,15
NEW PRODUCT,ORGANIZATION2,4304.0,4304.0,1,14,6,15
CHICKEN BREAST,Rx7EaFqPZUQwhNasBAQg,11.5,11.5,1,19,29,17
CHICKEN BREAST,JOx4G2Lrg8107VxgvSD0,3.0,3.6,27,19,29,17
TURKEY BREAST,Rx7EaFqPZUQwhNasBAQg,9.5,9.5,1,14,6,15
BEEF NECK BONES CUT AUST,Rx7EaFqPZUQwhNasBAQg,8.5,8.5,1,8,3,34
STREAKY BACON,Rx7EaFqPZUQwhNasBAQg,17.5,17.5,1,14,27,15
VEAL STOCK,Rx7EaFqPZUQwhNasBAQg,33.6,33.6,1,14,6,15
VEAL STOCK,PEelC4luLaL87idC3bez,46.0,49.0,3,14,6,15
NEW,Rx7EaFqPZUQwhNasBAQg,10.0,10.0,1,14,6,15
Iberico Pork,Rx7EaFqPZUQwhNasBAQg,17.5,17.5,1,14,27,15
PROSCIUTTO HAM,Rx7EaFqPZUQwhNasBAQg,59.5,59.5,1,14,1,15
PORK SHOULDER LEAN SKIN ON,Rx7EaFqPZUQwhNasBAQg,9.9,9.9,1,14,27,15
PORK BELLY SINGLE RIBBED SKINLESS,Rx7EaFqPZUQwhNasBAQg,17.5,17.5,1,14,27,15
POTATO RUSSET USA DICED,Rx7EaFqPZUQwhNasBAQg,5.0,5.0,1,21,23,33
POTATO RUSSET USA PEELED,Rx7EaFqPZUQwhNasBAQg,3.5,3.5,1,21,23,33
POTATO SWEET ORANGE DICED,Rx7EaFqPZUQwhNasBAQg,3.9,3.9,1,24,14,33
CHORIZO SAUSAGE,Rx7EaFqPZUQwhNasBAQg,15.5,15.5,1,14,6,15
Duck Liver,Rx7EaFqPZUQwhNasBAQg,52.0,52.0,1,14,6,15
AICARE THERMOMETER,FS6tsQvoZkPyeT8RIuW6,18.5981,18.5981,1,14,6,15
SIOW PAI CHYE,OSORISTORANTE,2.8,2.8,1,14,6,15
CARNE MEATS FZ PREMIUM SMOKED STREAKY BACON PRESLICED,OSORISTORANTE,15.0,15.0,1,3,27,15
WHITE COD FILLET SKIN ON,OSORISTORANTE,50.0,50.0,1,22,5,8
SAVORY METAL,OSORISTORANTE,88.0,88.0,1,14,6,15
TOMATO,OSORISTORANTE,2.3,2.3,1,5,31,15
TOMATO,HRMiJjjpBBZWNPPkqyGi,1.65,3.3,18,5,31,15
TOMATO,NwKAt2s45suG4zWjrtzb,2.0,2.6,31,5,31,15
TOMATO,yNLDhDuX7anISJyEgDj8,2.0,2.6,73,5,31,15
TOMATO,ecb6a488-6a92-456d-a2fa-3a42668b63da,2.0,3.0,72,5,31,15
TOMATO,Wwim9VraEE3QYKUVtF4V,1.8,25.0,325,5,31,15
TOMATO,SARNIES,2.3,3.0,349,5,31,15
TOMATO,m3FCjwBwqzZve4VCXjQn,1.8,2.0,279,5,31,15
TOMATO,Nq0MaGT0ku8KDsCkSKc3,2.5,3.0,474,5,31,15
TOMATO,7w4iCJYkZmWa1jACSKhr,2.0,3.5,458,5,31,15
TRADITION METAL GR,OSORISTORANTE,74.25,74.25,1,14,6,15
AUS FZ BEEF CHEEK MEAT BL IW GBP,OSORISTORANTE,17.0,17.0,1,3,3,15
ASPARAGUS GREEN,OSORISTORANTE,14.5,14.5,1,20,19,3
ASPARAGUS GREEN,SBARTemlIRP0og3eXx8u,15.0,19.8,186,20,19,3
ASPARAGUS GREEN,3l2ChN6QwY5x8JTRJajV,12.0,18.5,292,20,19,3
STRAWBERRY,OSORISTORANTE,6.8,6.8,1,14,6,15
STRAWBERRY,5ASEPlvGDhzzsqBtSbv1,7.5,12.9,10,14,6,15
STRAWBERRY,yPODHzRg7TAPcrDrNf17,7.2,7.2,122,14,6,15
STRAWBERRY,RAtjEwAw5JZqX46E7fUD,7.5,12.9,74,14,6,15
STRAWBERRY,TCNs6ubTKBzMTsSdTGOe,6.8,12.9,149,14,6,15
STRAWBERRY,rbpANC1F0I1GVQI75juA,7.2,12.9,118,14,6,15
STRAWBERRY,3l2ChN6QwY5x8JTRJajV,7.2,12.9,421,14,6,15
STRAWBERRY,4b6e7dcd-cab1-45c8-a19d-9ea1b851e0bc,7.2,12.9,397,14,6,15
STRAWBERRY,Y7UmL0O87UJXe0mlOJ2h,4.0,13.5,468,14,6,15
STRAWBERRY,2SBVln3dsn5IX35mnJvy,5.5,31.25,351,14,6,15
STRAWBERRY,tFwVht0zVlzfYANIVoKb,7.2,12.9,525,14,6,15
BROCCOLI,OSORISTORANTE,4.3,4.3,1,14,6,15
BROCCOLI,wOhW8w2TzucDLsosacGT,3.5,3.85,17,14,6,15
BROCCOLI,1ug2e9WJ4l2tUWVS2cih,3.5,4.5,43,14,6,15
BROCCOLI,PICKLEVILLE,4.3,16.9,79,14,6,15
BROCCOLI,RAtjEwAw5JZqX46E7fUD,4.3,4.9,73,14,6,15
BROCCOLI,yoUph1C3AlRZyqM5TIte,0.7,42.0,462,14,6,15
BROCCOLI,f8228d4f-2422-4128-9991-f585d1feb5b9,3.5,29.0,1435,14,6,15
MAJESTIC METAL GR,OSORISTORANTE,82.5,82.5,1,14,6,15
HERB ROSEMARY,OSORISTORANTE,2.0,2.0,1,17,20,15
HERB ROSEMARY,BoByIwyIqjPV8cBUxLj9,2.0,2.0,5,17,20,15
HERB ROSEMARY,SBARTemlIRP0og3eXx8u,2.0,2.5,97,17,20,15
HERB ROSEMARY,PICKLEVILLE,2.0,2.5,91,17,20,15
HERB ROSEMARY,TCNs6ubTKBzMTsSdTGOe,2.0,2.7,167,17,20,15
HERB ROSEMARY,6hReMbtRVHmsFmp3Sy5r,1.75,2.7,170,17,20,15
HERB ROSEMARY,3l2ChN6QwY5x8JTRJajV,2.0,2.4,270,17,20,15
HERB ROSEMARY,4b6e7dcd-cab1-45c8-a19d-9ea1b851e0bc,2.0,2.4,349,17,20,15
HERB ROSEMARY,2SBVln3dsn5IX35mnJvy,1.75,2.7,418,17,20,15
HERB BASIL,OSORISTORANTE,1.95,1.95,1,17,20,28
HERB BASIL,3r73DyXyd3Szsf9JNpaI,1.95,1.95,31,17,20,28
HERB BASIL,SBARTemlIRP0og3eXx8u,1.95,1.95,180,17,20,28
HERB BASIL,PICKLEVILLE,1.8,1.95,202,17,20,28
HERB BASIL,RAtjEwAw5JZqX46E7fUD,1.5,1.95,82,17,20,28
HERB BASIL,TCNs6ubTKBzMTsSdTGOe,1.95,1.95,233,17,20,28
HERB BASIL,b22762c4-577c-4195-9c19-367b566625c4,1.95,1.95,214,17,20,28
HERB BASIL,6hReMbtRVHmsFmp3Sy5r,1.95,1.95,125,17,20,28
HERB BASIL,SARNIES,1.8,1.95,263,17,20,28
HERB BASIL,3l2ChN6QwY5x8JTRJajV,1.95,1.95,383,17,20,28
HERB BASIL,x9bviQCfs5FSKkJJPnFj,1.95,1.95,321,17,20,28
HERB BASIL,4b6e7dcd-cab1-45c8-a19d-9ea1b851e0bc,1.95,1.95,439,17,20,28
HERB BASIL,2SBVln3dsn5IX35mnJvy,1.95,1.95,394,17,20,28
HERB BASIL,dbe4c2f9-e1ef-48be-a479-ad9972aa76f2,1.95,1.95,277,17,20,28
